timestamp, frame, x, y, z, qx, qy, qz, qw
21137.101962916, 000046, -0.7653094, -0.6479852, -1.1329184, 0.63395756, -0.077037744, 0.7675921, 0.054456856
21137.168634916, 000047, -0.7419596, -0.64822626, -1.1241719, 0.63388973, -0.08137403, 0.76725787, 0.053644057
21137.235307, 000048, -0.71798664, -0.6490792, -1.1149324, 0.63390744, -0.086309336, 0.7667413, 0.053102296
21137.301979041, 000049, -0.69311136, -0.6519867, -1.1056538, 0.6331847, -0.0901957, 0.76697844, 0.051827766
21137.368651083, 000050, -0.66873276, -0.65571487, -1.0973672, 0.63228357, -0.093755566, 0.7674047, 0.05017507
21137.435323041, 000051, -0.6454734, -0.65836865, -1.0911285, 0.6311954, -0.09753134, 0.7679178, 0.048809957
21137.501994958, 000052, -0.62411904, -0.6615122, -1.086876, 0.62990594, -0.10084069, 0.7685995, 0.048004963
21137.568667, 000053, -0.60328573, -0.6640439, -1.0824283, 0.6289889, -0.10401803, 0.7689104, 0.048269738
21137.635339, 000054, -0.5824014, -0.6653377, -1.0786672, 0.6278589, -0.106967084, 0.7693703, 0.049199603
21137.702011, 000055, -0.5602866, -0.667535, -1.0751812, 0.62680185, -0.109446555, 0.76985794, 0.049597
21137.768683, 000056, -0.5386064, -0.6694408, -1.071767, 0.6257107, -0.11182588, 0.77036655, 0.050167937
21137.835355041, 000057, -0.5163379, -0.6719842, -1.0677725, 0.62480474, -0.114081256, 0.7707266, 0.05084489
21137.902027041, 000058, -0.4916726, -0.6742196, -1.0647225, 0.6236533, -0.11593021, 0.77132, 0.05179055
21137.968699083, 000059, -0.46653605, -0.6757931, -1.0622205, 0.6219347, -0.11756284, 0.77242106, 0.052364405
21138.035371, 000060, -0.44114572, -0.6754726, -1.0603042, 0.6194965, -0.1193535, 0.7740586, 0.053030677
21138.102043041, 000061, -0.41476357, -0.67311317, -1.0592318, 0.61526, -0.12151431, 0.7769692, 0.054850064
21138.168715041, 000062, -0.38849428, -0.6708206, -1.0574921, 0.6088044, -0.12360982, 0.7815825, 0.056628924
21138.235387125, 000063, -0.36053395, -0.66848916, -1.0552514, 0.60036314, -0.12515096, 0.78776544, 0.05768299
21138.302059083, 000064, -0.32983243, -0.6661167, -1.0518559, 0.5895236, -0.12642162, 0.79568905, 0.05795307
21138.368731125, 000065, -0.2978645, -0.6639136, -1.0482392, 0.5735488, -0.12713003, 0.8071215, 0.058608156
21138.435403125, 000066, -0.267265, -0.6626562, -1.0466784, 0.55591714, -0.12780884, 0.8192323, 0.058988847
21138.502075083, 000067, -0.2391862, -0.6606268, -1.0448426, 0.5378741, -0.12916653, 0.83091384, 0.059913818
21138.568747125, 000068, -0.2138156, -0.65945566, -1.0413667, 0.51996195, -0.13018614, 0.84196764, 0.06149613
21138.635419208, 000069, -0.19074084, -0.65653086, -1.0380893, 0.5038396, -0.13068137, 0.85153913, 0.0628445
21138.702091166, 000070, -0.1704906, -0.6525981, -1.0345303, -0.49037153, 0.13056527, -0.8593488, -0.06331112
21138.768763208, 000071, -0.15039153, -0.6481965, -1.0302001, -0.47899273, 0.13051157, -0.8657594, -0.06319364
21138.835435166, 000072, -0.13009578, -0.64494216, -1.0260931, -0.46893954, 0.12992476, -0.87133604, -0.06315747
21138.90210725, 000073, -0.10718811, -0.64373213, -1.021878, -0.46026766, 0.12906846, -0.87603736, -0.06366756
21138.968779208, 000074, -0.08516568, -0.6453706, -1.0147835, -0.4533305, 0.1285562, -0.87967604, -0.064302884
21139.035451166, 000075, -0.059763312, -0.6478911, -1.0052958, -0.44892398, 0.12834458, -0.88191056, -0.06502858
21139.10212325, 000076, -0.033272948, -0.65176284, -0.99441385, -0.4459512, 0.12767005, -0.8835454, -0.064617686
21139.168795291, 000077, -0.007843573, -0.65661097, -0.9829676, -0.4440699, 0.12787718, -0.884433, -0.06502161
21139.235467291, 000078, 0.017240528, -0.660393, -0.97006, -0.44264093, 0.1283707, -0.885068, -0.0651511
21139.302139291, 000079, 0.041949753, -0.66186, -0.955726, -0.4416489, 0.12901214, -0.8854534, -0.065378465
21139.36881125, 000080, 0.0654341, -0.6600579, -0.93918395, -0.44099367, 0.12993665, -0.8856368, -0.065487124
21139.435483375, 000081, 0.08868863, -0.6554282, -0.9211403, -0.44044518, 0.13070454, -0.8858403, -0.06489577
21139.502155375, 000082, 0.10828481, -0.6496035, -0.9002341, -0.43966135, 0.13082713, -0.88631123, -0.06351843
21139.568827375, 000083, 0.12815458, -0.6425988, -0.8753964, -0.43840823, 0.13154364, -0.8869821, -0.061297543
21139.635499291, 000084, 0.14615208, -0.6356119, -0.84902656, -0.43639818, 0.13171498, -0.88823897, -0.056915604
21139.702171291, 000085, 0.16291896, -0.6292151, -0.8216052, -0.4326425, 0.13135085, -0.89059305, -0.04910702
21139.768843291, 000086, 0.18035068, -0.62403274, -0.79546195, -0.42694724, 0.1297545, -0.8940735, -0.03889097
21139.835515416, 000087, 0.19719757, -0.62039244, -0.7690212, -0.42100593, 0.12793499, -0.8975612, -0.027758906
21139.902187291, 000088, 0.21348633, -0.6148925, -0.7423985, -0.41530803, 0.12636884, -0.90068686, -0.017704345
