timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
21134.15109866667, -9.673335952162743, -0.028740234375, -1.518142128288746, 0.08419719338417053, 0.031606439501047134, 0.032434385269880295
21134.161096666667, -9.667498676776887, -0.056133200599579144, -1.3301334605365993, 0.05516287684440613, 0.031968362629413605, 0.028113670647144318
21134.171093666668, -9.715697860121727, -0.10687775457627141, -1.3248942822217942, 0.0287101399153471, 0.013546844944357872, 0.010360479354858398
21134.18109166667, -9.74024564087391, -0.1652563807752449, -1.2900165179371834, 0.01572536677122116, -0.017066191881895065, -0.01580880582332611
21134.191089666667, -9.757010192871094, -0.11795468450523913, -1.2853759483247995, 0.003537944285199046, -0.028667697682976723, -0.02458677813410759
21134.201087666668, -9.693991826176644, -0.06990458917105571, -1.2865736773610115, 0.001666541094891727, -0.014742561616003513, -0.019736628979444504
21134.21108466667, -9.693245136737824, 0.03802087224670686, -1.3102244221419097, 0.0013863741187378764, -0.003256021998822689, -0.002232747618108988
21134.221082666667, -9.704619140625, 0.10523120148922317, -1.2275964675843716, 0.0002947444736491889, 0.011294957250356674, 0.011145642027258873
21134.23108066667, -9.666598790287972, 0.15073651890736073, -1.1826895590126516, 0.002459712093695998, 0.019115103408694267, 0.018331993371248245
21134.24107866667, -9.743389104008676, 0.1799257874675095, -1.1470636434853076, 0.003686630167067051, 0.024878185242414474, 0.013346556574106216
21134.251075666667, -9.836197865009309, 0.15088619506568648, -1.1376332540810108, 0.0025733434595167637, 0.020241662859916687, 0.00245288060978055
21134.26107366667, -9.804612375497818, 0.1429527511121705, -1.084344142600894, 0.001092892256565392, 0.0022091325372457504, -0.008382456377148628
21134.27107166667, -9.755813267827035, 0.1448986804985907, -1.0602443316578865, -0.0038256971165537834, -0.007753916084766388, -0.015467922203242779
21134.281069666667, -9.782008793950082, 0.13561795469024218, -1.0364438981562853, -0.004795087967067957, -0.006068667396903038, -0.015618924051523209
21134.29106666667, -9.787997512221336, 0.1700464506726712, -1.0289597544819118, -0.004476483911275864, 0.00442275358363986, -0.01344895176589489
21134.301064666666, -9.79203676879406, 0.1889071575331036, -1.0297076864540577, -0.005710592493414879, 0.008831883780658245, -0.009874723851680756
21134.311062666668, -9.746981048583985, 0.2004331810330041, -1.0325516259670258, -0.0030693605076521635, 0.007732979953289032, -0.007529242429882288
21134.32106066667, -9.71943832397461, 0.18651215741643684, -1.0343480367958546, -0.002369481837376952, 0.014018039219081402, -0.009782010689377785
21134.331058666667, -9.769584630131723, 0.12693600774742664, -1.1011089869588615, -0.0009596935706213117, 0.016158893704414368, -0.011235187761485577
21134.341055666668, -9.746682255864144, 0.08607099613174797, -1.1409266982972623, -0.00034423707984387875, 0.012980676256120205, -0.014918074011802673
21134.35105366667, -9.631272252202034, 0.04790043402230367, -1.1804440820217132, 0.0007570715388283134, 0.0012511336244642735, -0.013873083516955376
21134.361051666667, -9.573492406010628, 0.02769235280225985, -1.2198126541078091, -0.0008794409222900867, -0.00302031054161489, -0.011627505533397198
21134.371049666668, -9.56780423462391, -0.013921000775881112, -1.267413667291403, 0.00019948717090301216, 0.0005044015124440193, -0.005600769072771072
21134.38104666667, -9.552835362553598, -0.042661349354311824, -1.291064192801714, -0.0009129152167588472, 0.0019656780641525984, -0.0015596882440149784
21134.391044666667, -9.556427891850472, -0.045205967385554685, -1.2609765406697988, 0.0010373250115662813, -0.00654281210154295, -0.0015741828829050064
21134.40104266667, -9.596245091557503, -0.06541397037624848, -1.241966511681676, -0.0016205096617341042, -0.007761474698781967, -0.0050080628134310246
21134.41104066667, -9.626931279301644, -0.068856753850705, -1.2323861411958934, -0.00018207402899861336, -0.008909854106605053, -0.004368266090750694
21134.421037666667, -9.658217391371727, -0.07514372637262569, -1.2102323567122222, -0.002652422059327364, -0.009952215477824211, -0.0036201842594891787
21134.43103566667, -9.694891127943993, -0.04924765306524933, -1.1603860127180816, -0.00395088130608201, -0.01230282336473465, 0.0017194896936416626
21134.44103366667, -9.732312138676644, -0.03652409753005486, -1.1546979144215583, -0.002562842098996043, -0.005180997774004936, 0.0052822669968008995
